,,VOLKNER SPLIT,,,,,LVL CAP : 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#000 Pokemon,,,,,Lv.00,,Icon,#000 Pokemon,,,,,Lv.00,,Icon,#000 Pokemon,,,,,Lv.00,,Icon,#000 Pokemon,,,,,Lv.00,,Icon,#000 Pokemon,,,,,Lv.00,,Icon,#000 Pokemon,,,,,Lv.00
,,,,,TYPE I,,,TYPE II,,,,,TYPE I,,,TYPE II,,,,,NEW I,,,TYPE II,,,,,TYPE I,,,NEW II,,,,,TYPE I,,,TYPE II,,,,,TYPE I,,,TYPE II,
,,MandatoryOptional,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total
,,Conditions,Stats,,,,,,,,Stats,,,,,,,,Stats,,,,,,,,Stats,,,,,,,,Increased Stats᠎,,,,,,,,Decreased Stats᠋,,,,,,
,,Situated,Icon,Held Item,,,Ability I,,,,Icon,Held Item,,,Ability I,,,,Icon,Held Item,,,Ability I,,,,Icon,Held Item,,,Ability I,,,,Icon,Held Item,,,Switched Ability឵,,,,Icon,Held Item,,,New Ability (!),,
,,Use,"Nature (+Stat, -Stat)",,,,,,00 IV,,"Nature (+Stat, -Stat)",,,,,,00 IV,,"Nature (+Stat, -Stat)",,,,,,00 IV,,"Nature (+Stat, -Stat)",,,,,,00 IV,,"Nature (+Stat, -Stat)",,,,,,00 IV,,"Nature (+Stat, -Stat)",,,,,,00 IV
,,Move,New Attack 1 (!),,,Type,Pow,Acc,PP,,Attack 1,,,NEW,Pow,Acc,PP,,Attack 1,,,Type,Pow,Acc,PP,,Attack 1,,,Type,Pow,Acc,PP,,Attack 1,,,Type,Increased Stats᠎,,,,Attack 1,,,Type,Decreased Stats᠋,,
,,Info,New Attack 2 (!),,,Type,Pow,Acc,PP,,Attack 2,,,NEW,Pow,Acc,PP,,Attack 2,,,Type,Pow,Acc,PP,,Attack 2,,,Type,Pow,Acc,PP,,Attack 2,,,Type,Increased Stats᠎,,,,Attack 2,,,Type,Decreased Stats᠋,,
,,Gifts,New Attack 3 (!),,,Type,Pow,Acc,PP,,Attack 3,,,NEW,Pow,Acc,PP,,Attack 3,,,Type,Pow,Acc,PP,,Attack 3,,,Type,Pow,Acc,PP,,Attack 3,,,Type,Increased Stats᠎,,,,Attack 3,,,Type,Decreased Stats᠋,,
